"","vversion","vdsetno","self_report_turnout","validated_turnout","misreport","campaign_interest","pid_strength","white","black","other_race","female","age","agesquared","married","educ_years","educ_summary","fam_income","church_attendance","county_stability","house_stability","civic_duty","int_eff_1","int_eff_2","int_eff_3","int_eff_4","int_eff_scale","ext_eff_1","ext_eff_2","ext_eff_3","ext_eff_4","ext_eff_scale","post_int_date","post_int_days","alone_pre","cooperative_pre","suspicion_pre","suspicion_post","sincerity_pre","report_income_correctly","refusal_conversion","total_calls","refuse_initially","break_appts","refused_fam_income","trust_in_govt"
"1",1,"1988.TV",1,1,0,1,2,1,0,0,1,62,3844,1,9,1,6,4,15,13,4,1,1,1,0,-0.928235530853271,1,1,2,1,-0.0194342695176601,1114,6,1,3,0,0,2,1,0,1,0,0,0,1
"2",1,"1988.TV",0,0,0,0,1,1,0,0,1,19,361,0,10,1,10,1,0,0,4,0,0,0,0,-1.53941762447357,3,1,1,1,-0.0147709958255291,1117,9,1,3,0,0,2,1,0,1,0,0,0,1
"3",1,"1988.TV",NA,NA,NA,1,2,1,0,0,0,20,400,0,13,3,6,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,2,1,0,8,0,2,0,NA
"4",1,"1988.TV",1,0,1,1,1,1,0,0,1,47,2209,0,17,6,17,4,2,2,NA,3,3,4,2,0.91497927904129,0,1,1,1,-0.546114027500153,1229,51,1,4,0,0,2,1,0,8,0,0,0,1
"5",1,"1988.TV",0,0,0,0,2,0,1,0,1,66,4356,0,9,1,1,2,15,15,4,0,0,0,0,-1.53941762447357,3,3,2,2,1.13059043884277,1110,2,1,4,0,0,2,1,0,4,1,0,0,2
"6",1,"1988.TV",0,0,0,2,2,0,1,0,1,70,4900,0,6,0,3,3,15,12,0,4,4,4,4,1.75686633586884,0,0,0,0,-1.49318647384644,1116,8,0,4,0,0,2,1,0,3,1,0,0,1
"7",1,"1988.TV",NA,NA,NA,1,0,1,0,0,1,24,576,1,12,2,13,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0,2,1,0,22,0,2,0,NA
"8",1,"1988.TV",0,0,0,0,0,1,0,0,1,24,576,0,16,3,2,1,4,2,4,1,1,2,0,-0.733162641525269,3,3,1,1,0.381806880235672,1110,2,1,3,0,0,2,1,0,1,0,0,0,2
"9",1,"1988.TV",0,0,0,0,2,1,0,0,1,76,5776,0,8,0,NA,NA,15,15,0,1,0,0,1,-1.10010588169098,0,0,0,0,-1.49318647384644,1111,3,1,4,0,0,1,1,0,1,0,0,1,1
"10",1,"1988.TV",1,1,0,1,2,1,0,0,1,78,6084,0,8,0,9,4,15,15,4,3,0,3,1,-0.0620415471494198,1,1,0,0,-1.11778318881989,1109,1,1,4,0,0,2,1,0,1,0,0,0,1
"11",1,"1988.TV",0,0,0,0,1,1,0,0,1,30,900,0,12,2,7,3,15,7,4,0,0,0,0,-1.53941762447357,1,1,1,1,-0.368999660015106,1207,29,1,2,1,0,2,1,0,15,0,0,0,1
"12",1,"1988.TV",1,1,0,2,1,1,0,0,0,51,2601,1,12,2,5,1,10,10,0,3,2,3,3,0.743108987808228,0,0,1,1,-0.744402945041656,1122,14,0,4,0,0,2,1,0,3,0,0,0,1
"13",1,"1988.TV",0,0,0,1,0,1,0,0,1,26,676,1,12,2,9,4,0,0,4,3,2,2,2,0.335147142410278,4,3,1,1,0.558921217918396,1208,30,0,3,0,0,2,1,0,8,0,2,0,1
"14",1,"1988.TV",1,0,1,0,1,1,0,0,1,64,4096,0,12,2,10,1,15,15,4,0,0,0,0,-1.53941762447357,1,2,1,0,-0.569928884506226,1111,3,1,3,0,0,1,1,0,2,0,0,0,2
"15",1,"1988.TV",1,1,0,2,3,1,0,0,1,50,2500,1,15,3,19,4,4,4,4,3,1,1,2,-0.0496121682226658,3,3,2,1,0.73137229681015,1129,21,1,4,0,0,2,1,0,5,0,0,0,2
"16",1,"1988.TV",1,0,1,1,3,1,0,0,1,28,784,0,12,2,3,4,2,2,4,1,0,0,1,-1.10010588169098,3,3,NA,1,NA,1120,12,1,3,0,1,2,1,0,6,1,0,0,2
"17",1,"1988.TV",0,0,0,0,3,1,0,0,1,75,5625,0,9,1,NA,3,15,15,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1110,2,1,2,0,0,2,1,0,1,0,0,1,NA
"18",1,"1988.TV",1,1,0,1,3,1,0,0,0,41,1681,1,14,4,14,0,0,1,NA,4,2,2,3,0.774458825588226,3,3,1,1,0.381806880235672,1215,37,1,4,0,0,2,1,0,15,0,0,0,2
"19",1,"1988.TV",1,1,0,2,1,1,0,0,1,30,900,1,16,5,22,4,4,4,NA,3,1,NA,2,NA,3,2,1,1,0.183517917990685,1114,6,0,4,0,0,2,1,0,2,0,0,0,1
"20",1,"1988.TV",1,1,0,2,2,1,0,0,1,59,3481,0,12,2,5,1,15,2,4,3,3,1,1,0.116871602833271,1,3,1,1,0.0275781564414501,1121,13,1,4,0,0,2,1,0,2,0,0,0,2
"21",1,"1988.TV",0,0,0,1,1,0,1,0,1,26,676,0,14,4,11,1,0,1,4,2,2,3,2,0.303797274827957,1,1,2,1,-0.0194342695176601,1127,19,1,4,0,0,2,1,0,9,0,1,0,2
"22",1,"1988.TV",0,0,0,0,0,1,0,0,0,35,1225,1,6,0,14,1,15,13,4,1,0,4,0,-0.532703101634979,0,0,0,0,-1.49318647384644,1118,10,0,3,0,0,2,1,0,2,0,0,0,1
"23",1,"1988.TV",1,0,1,2,3,0,1,0,1,66,4356,0,10,1,0,4,15,6,4,3,0,1,0,-0.665076315402985,3,1,2,0,-0.0644236877560616,1115,7,1,3,1,1,2,1,0,5,0,0,0,1
"24",1,"1988.TV",NA,NA,NA,1,2,1,0,0,1,71,5041,0,12,2,6,3,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,2,1,0,2,NA,NA,0,NA
"25",1,"1988.TV",0,0,0,0,0,1,0,0,1,20,400,0,11,1,2,0,3,1,4,2,2,2,0,-0.317053496837616,2,1,0,0,-0.940668880939484,1206,28,1,4,0,0,2,1,0,6,0,0,0,1
"26",1,"1988.TV",1,1,0,1,2,1,0,0,1,38,1444,1,5,0,5,2,15,10,4,4,4,4,4,1.75686633586884,3,0,0,0,-0.961843430995941,1113,5,0,3,0,0,2,1,0,2,0,0,0,1
"27",1,"1988.TV",0,0,0,1,1,1,0,0,1,30,900,1,12,2,14,4,13,4,4,2,2,0,0,-0.707199394702911,0,0,1,1,-0.744402945041656,1112,4,0,4,0,0,2,1,0,1,0,0,0,3
"28",1,"1988.TV",1,1,0,2,2,1,0,0,1,54,2916,1,12,2,15,0,15,15,4,2,1,1,2,-0.2760349214077,3,3,2,1,0.73137229681015,1113,5,1,4,0,0,2,1,0,3,1,0,0,1
"29",1,"1988.TV",0,0,0,1,0,1,0,0,1,32,1024,1,8,0,1,0,15,2,4,2,2,2,2,0.108724340796471,2,0,1,1,-0.390174239873886,1110,2,0,4,0,0,2,1,0,4,0,0,0,1
"30",1,"1988.TV",0,0,0,0,2,1,0,0,1,61,3721,1,9,1,14,2,15,5,4,4,1,1,1,-0.0360783077776432,0,0,1,1,-0.744402945041656,1115,7,1,3,0,0,2,1,0,2,0,0,0,2
"31",1,"1988.TV",1,1,0,2,3,0,1,0,0,47,2209,1,15,4,17,2,10,10,NA,4,3,3,3,1.15921807289124,4,1,2,0,0.112690649926662,1114,6,1,3,0,0,2,1,0,1,0,0,0,2
"32",1,"1988.TV",1,1,0,1,1,0,0,1,1,60,3600,0,16,5,15,4,15,7,4,3,1,3,3,0.553422629833221,3,3,1,1,0.381806880235672,1111,3,1,4,0,0,2,1,0,2,0,0,0,1
"33",1,"1988.TV",1,1,0,1,2,1,0,0,0,74,5476,0,5,0,15,0,15,15,4,4,0,0,1,-0.420837610960007,4,0,1,0,-0.435163676738739,1110,2,1,4,0,0,2,1,0,1,1,0,0,0
"34",1,"1988.TV",0,0,0,1,1,1,0,0,0,22,484,0,12,2,9,NA,15,1,4,3,1,2,1,-0.0674281418323517,1,0,1,0,-0.966506719589233,1119,11,1,3,0,0,2,1,0,2,0,0,0,1
"35",1,"1988.TV",0,0,0,1,1,1,0,0,0,60,3600,1,12,2,19,1,15,15,0,3,0,1,1,-0.452187418937683,1,1,2,1,-0.0194342695176601,1120,12,0,4,0,0,2,1,0,3,0,0,0,1
"36",1,"1988.TV",0,0,0,1,2,1,0,0,1,54,2916,0,12,2,17,1,14,14,4,1,0,2,2,-0.497071117162704,0,0,1,1,-0.744402945041656,1112,4,1,3,0,0,2,1,0,1,0,0,0,1
"37",1,"1988.TV",1,1,0,0,1,1,0,0,1,32,1024,1,12,2,20,0,0,1,4,0,0,0,0,-1.53941762447357,1,1,1,1,-0.368999660015106,1115,7,1,4,0,0,2,1,0,3,0,0,0,2
"38",1,"1988.TV",1,1,0,2,3,1,0,0,1,79,6241,0,14,3,13,4,6,6,NA,3,1,2,3,0.358349680900574,3,1,2,1,0.33479443192482,1116,8,1,4,0,0,2,1,0,1,0,0,0,2
"39",1,"1988.TV",NA,NA,NA,0,1,1,0,0,1,29,841,0,12,2,13,NA,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,2,1,0,4,1,0,0,NA
