obs,link,w1_type,n_w,n_x,n_z,fd1,fd2,true1,true2,max_lik
full observability,logit,continuous,1,1,1,0.0942361872551853,-0.21712317735625,0.0942483159319988,-0.217115158665573,NA
partial observability,logit,continuous,1,1,1,0.0943454598237362,-0.217195318670167,0.0942483159319988,-0.217115158665573,-3163474573.75675
full observability,probit,continuous,1,1,1,0.0937579763016593,-0.217076983892134,0.0968757209920401,-0.212647728925656,NA
partial observability,probit,continuous,1,1,1,0.0875002475104349,-0.217499058418954,0.0968757209920401,-0.212647728925656,-3164221451.36167
full observability,cloglog,continuous,1,1,1,0.0914191736345943,-0.212434400549969,0.0985473231587739,-0.204838316641871,NA
partial observability,cloglog,continuous,1,1,1,0.0368811890933703,-0.173212268292047,0.0985473231587739,-0.204838316641871,-3169929421.76414
full observability,cauchit,continuous,1,1,1,0.0825958545028032,-0.21577920136885,0.0572084204410299,-0.245718167650307,NA
partial observability,cauchit,continuous,1,1,1,0.078286559515606,-0.201360517499436,0.0572084204410299,-0.245718167650307,-3161477404.47858
full observability,logit,continuous,1,3,3,-0.026016220943884,-0.0304524699067165,-0.026016489153505,-0.0304523134267922,NA
partial observability,logit,continuous,1,3,3,-0.0259930022555043,-0.0304557207316839,-0.026016489153505,-0.0304523134267922,-142480321905.517
full observability,probit,continuous,1,3,3,-0.0259620079277609,-0.0303731867072996,-0.0260522336119302,-0.0309776877562247,NA
partial observability,probit,continuous,1,3,3,-0.0230575200899708,-0.0320193574207054,-0.0260522336119302,-0.0309776877562247,-142499889998.932
full observability,cloglog,continuous,1,3,3,-0.0254396940120956,-0.0304505721720604,-0.0260839485500762,-0.0303354513254443,NA
partial observability,cloglog,continuous,1,3,3,-0.0231125644237352,-0.0351648148756875,-0.0260839485500762,-0.0303354513254443,-142483120207.504
full observability,cauchit,continuous,1,3,3,-0.024803433166126,-0.0269657880641062,-0.0224125409552688,-0.0225596571704882,NA
partial observability,cauchit,continuous,1,3,3,-0.0239676457199125,-0.0237728099886762,-0.0224125409552688,-0.0225596571704882,-143320826793.222
full observability,logit,binary,2,4,0,0.103942325139302,-0.113781889139767,0.10393792402512,-0.113784544344564,NA
partial observability,logit,binary,2,4,0,0.103919321200104,-0.113775788394574,0.10393792402512,-0.113784544344564,-24889100710.3722
full observability,probit,binary,2,4,0,0.103809908756684,-0.113340320765061,0.10102078710824,-0.116908148042372,NA
partial observability,probit,binary,2,4,0,0.105117016551557,-0.112770231004822,0.10102078710824,-0.116908148042372,-24894146479.1243
full observability,cloglog,binary,2,4,0,0.100704358981999,-0.111495925016801,0.0954025388215213,-0.118883242345322,NA
partial observability,cloglog,binary,2,4,0,0.0619030945915312,-0.0669499765689743,0.0954025388215213,-0.118883242345322,-25018188590.8939
full observability,cauchit,binary,2,4,0,0.10139160916638,-0.106862902682327,0.119090861972137,-0.0785690207886418,NA
partial observability,cauchit,binary,2,4,0,0.0933886108795647,-0.0887393378102248,0.119090861972137,-0.0785690207886418,-24945320892.7586
full observability,logit,continuous,1,0,1,-0.169253817065376,-0.0416716703538634,-0.169273415324741,-0.0416771543435149,NA
partial observability,logit,continuous,1,0,1,-0.167824076931635,-0.0414027967074318,-0.169273415324741,-0.0416771543435149,-136779323.604479
full observability,probit,continuous,1,0,1,-0.169085973194305,-0.0416255315912552,-0.168672523793014,-0.0415989931519156,NA
partial observability,probit,continuous,1,0,1,-0.34395691690368,-0.0191688774417784,-0.168672523793014,-0.0415989931519156,-136804661.546376
full observability,cloglog,continuous,1,0,1,-0.169201139050465,-0.0416808226829778,-0.16959663906475,-0.0416792372109336,NA
partial observability,cloglog,continuous,1,0,1,-0.144337079938527,-0.0327598200043162,-0.16959663906475,-0.0416792372109336,-136754903.18644
full observability,cauchit,continuous,1,0,1,-0.162051798435419,-0.0407637672087223,-0.166382991813127,-0.0412931705693427,NA
partial observability,cauchit,continuous,1,0,1,2.69784194983913e-13,-0.0172073654294944,-0.166382991813127,-0.0412931705693427,-136704725.661785
full observability,logit,binary,1,0,1,0.088216505,-0.299434422715247,0.0882474240792261,-0.299440731162153,NA
partial observability,logit,binary,1,0,1,-0.133236337553684,-0.256835735398025,0.0882474240792261,-0.299440731162153,-225373758.171458
full observability,probit,binary,1,0,1,0.0882168950000002,-0.299459510329663,0.0881975399999999,-0.29924054618921,NA
partial observability,probit,binary,1,0,1,-0.214756610970517,-0.188017308718209,0.0881975399999999,-0.29924054618921,-225375707.660886
full observability,cloglog,binary,1,0,1,0.08822418,-0.299207388707254,0.08819754,-0.297604804303992,NA
partial observability,cloglog,binary,1,0,1,-0.298211301062611,-0.140947011948937,0.08819754,-0.297604804303992,-225422357.792029
full observability,cauchit,binary,1,0,1,0.0881634999999998,-0.297905574326124,0.0881975400000001,-0.297903923809146,NA
partial observability,cauchit,binary,1,0,1,-0.620592008518161,0.0835041470796901,0.0881975400000001,-0.297903923809146,-225853288.223145
full observability,logit,binary,1,1,1,0.0294661117036569,0.107972387817234,0.0294735428129155,0.10796413315067,NA
partial observability,logit,binary,1,1,1,0.0291436362953411,0.107981641512739,0.0294735428129155,0.10796413315067,-539229959.90309
full observability,probit,binary,1,1,1,0.0294347546203619,0.107905842933177,0.0294997468397236,0.107845183555178,NA
partial observability,probit,binary,1,1,1,0.013582463130917,0.112048812252118,0.0294997468397236,0.107845183555178,-539213667.705118
full observability,cloglog,binary,1,1,1,0.0294972953118219,0.107477002407867,0.0295180607520503,0.107749278804082,NA
partial observability,cloglog,binary,1,1,1,0.109340187273807,1.53503087322315e-05,0.0295180607520503,0.107749278804082,-539268104.109369
full observability,cauchit,binary,1,1,1,0.0292107537696216,0.106708995054933,0.0286406072802465,0.105556153241493,NA
partial observability,cauchit,binary,1,1,1,0.0934317463437371,4.30932645264503e-05,0.0286406072802465,0.105556153241493,-539384306.380052
full observability,logit,binary,1,2,0,-0.0474743345445538,0.00121003250000001,-0.0474964510373507,0.00122216807518397,NA
partial observability,logit,binary,1,2,0,-0.0482842878845094,0.0046447986567241,-0.0474964510373507,0.00122216807518397,-154823511.163992
full observability,probit,binary,1,2,0,-0.0474720953382408,0.00117853250000005,-0.0477766311099,0.001204815,NA
partial observability,probit,binary,1,2,0,-0.0661039376494068,0.00221805565230032,-0.0477766311099,0.001204815,-154896463.469546
full observability,cloglog,binary,1,2,0,-0.0474469275001632,0.00120183000000004,-0.0465695486649331,0.00120481500000003,NA
partial observability,cloglog,binary,1,2,0,-0.0293804628949734,0.0230187040960801,-0.0465695486649331,0.00120481500000003,-154851909.665275
full observability,cauchit,binary,1,2,0,-0.0448868252073407,0.00118474999999987,-0.0394888378352656,0.00120481499999997,NA
partial observability,cauchit,binary,1,2,0,0.107697661743807,-0.729501065855181,-0.0394888378352656,0.00120481499999997,-154887310.192352
full observability,logit,continuous,1,3,1,-0.199005032875966,-0.407430261637346,-0.198993792527942,-0.407429118467734,NA
partial observability,logit,continuous,1,3,1,-0.198892395980221,-0.407665895094086,-0.198993792527942,-0.407429118467734,-9013653467.44845
full observability,probit,continuous,1,3,1,-0.19884412839008,-0.407218017212803,-0.198917800042405,-0.407137107307015,NA
partial observability,probit,continuous,1,3,1,-0.199624304782675,-0.404987701244489,-0.198917800042405,-0.407137107307015,-9015051052.94469
full observability,cloglog,continuous,1,3,1,-0.198610635210994,-0.402406853653439,-0.197436163785224,-0.402540529772066,NA
partial observability,cloglog,continuous,1,3,1,-0.249115199725664,-0.0479240267996113,-0.197436163785224,-0.402540529772066,-9008611850.30972
full observability,cauchit,continuous,1,3,1,-0.194426188824767,-0.402349364446483,-0.192162077004736,-0.40359063834794,NA
partial observability,cauchit,continuous,1,3,1,-0.201657762472916,-0.362030385468853,-0.192162077004736,-0.40359063834794,-9012547873.36698
full observability,logit,binary,2,2,1,-0.0878100764833115,-0.181218701356279,-0.0878051106430814,-0.181219336501371,NA
