"obs","w1_type","est","true","fd_z"
"full observability","continuous key explanatory variable",-0.844463,-0.895313,0.296432
"full observability","continuous key explanatory variable",0.546921,0.555407,-0.455726
"full observability","continuous key explanatory variable",-0.820163,-0.864797,-0.269935
"full observability","continuous key explanatory variable",-0.650324,-0.668008,0.455364
"full observability","continuous key explanatory variable",-0.434801,-0.437031,0.132685
"full observability","continuous key explanatory variable",-0.0336699,-0.0336685,0.575301
"full observability","continuous key explanatory variable",0.556927,0.566396,0.39195
"full observability","continuous key explanatory variable",-0.32674,-0.328475,-0.172948
"full observability","continuous key explanatory variable",-0.544084,-0.549532,0.587252
"full observability","continuous key explanatory variable",0.26969,0.270615,-0.519076
"full observability","continuous key explanatory variable",0.524018,0.531662,0.302791
"full observability","continuous key explanatory variable",-0.430931,-0.435291,-0.478551
"full observability","continuous key explanatory variable",-0.278653,-0.279021,-0.125812
"full observability","continuous key explanatory variable",0.200864,0.20113,-0.244562
"full observability","continuous key explanatory variable",-0.62465,-0.636651,0.268463
"full observability","continuous key explanatory variable",-0.240863,-0.241562,-0.34992
"full observability","continuous key explanatory variable",-0.600861,-0.614199,0.234054
"full observability","continuous key explanatory variable",0.239883,0.23956,0.352196
"full observability","continuous key explanatory variable",-0.122669,-0.122754,0.333124
"full observability","continuous key explanatory variable",0.138722,0.138829,0.375508
"full observability","continuous key explanatory variable",-0.574737,-0.586037,0.327067
"full observability","continuous key explanatory variable",-0.594361,-0.607218,-0.339975
"full observability","continuous key explanatory variable",0.219849,0.219763,-0.138797
"full observability","continuous key explanatory variable",-0.476428,-0.482513,-0.555361
"full observability","continuous key explanatory variable",0.84777,0.893234,-0.110143
"full observability","continuous key explanatory variable",0.475423,0.480798,0.295587
"full observability","continuous key explanatory variable",-0.28034,-0.280225,-0.241684
"full observability","continuous key explanatory variable",-0.619676,-0.63464,0.22664
"full observability","continuous key explanatory variable",-0.530935,-0.538848,0.288663
"full observability","continuous key explanatory variable",0.567987,0.578603,-0.135133
"full observability","continuous key explanatory variable",0.65772,0.675734,-0.433848
"full observability","continuous key explanatory variable",0.617244,0.631285,-0.296008
"full observability","continuous key explanatory variable",-0.572179,-0.582811,0.398011
"full observability","continuous key explanatory variable",-0.469804,-0.475581,-0.446375
